   1.97293401      -1.13907397       0.00000000    
   1.97293401       1.13907397      -0.00000000    
  -0.00000000       0.00000000      0.197293401    
          10          10
   9.18367356E-02   0.00000000       0.00000000    
              (-17.595829788713488,0.0000000000000000)   1.0000000000000000     
    -2    -3     0  (   0.362434E-05 ,  -0.243207E-05 )
    -1    -3     0  (   0.286444E-05 ,  -0.723896E-05 )
     0    -2     0  (  -0.134227E-03 ,  -0.673344E-03 )
     1    -2     0  (   0.127931E-02 ,   0.501459E-04 )
     2    -2     0  (  -0.260345E-03 ,   0.744268E-03 )
     3    -2     0  (  -0.519407E-04 ,  -0.144932E-03 )
     4    -2     0  (   0.107231E-04 ,   0.143054E-05 )
     5    -2     0  (   0.292577E-05 ,  -0.500164E-05 )
     6    -2     0  (   0.150201E-06 ,  -0.349561E-08 )
    -4    -2     0  (   0.203046E-06 ,  -0.124014E-05 )
    -3    -2     0  (   0.327996E-05 ,   0.321415E-05 )
    -2    -2     0  (   0.145365E-04 ,   0.345311E-05 )
    -1    -2     0  (  -0.119904E-03 ,   0.336905E-04 )
     0    -1     0  (  -0.790516E-02 ,   0.109025E-01 )
     1    -1     0  (  -0.359171E-02 ,  -0.110808E-01 )
     2    -1     0  (   0.903032E-03 ,   0.164543E-03 )
     3    -1     0  (  -0.546420E-04 ,   0.128666E-03 )
     4    -1     0  (   0.266366E-06 ,  -0.598113E-05 )
     5    -1     0  (  -0.354408E-05 ,   0.235319E-07 )
     6    -1     0  (  -0.368966E-06 ,   0.839452E-06 )
    -5    -1     0  (  -0.480400E-06 ,  -0.185260E-06 )
    -4    -1     0  (  -0.430016E-05 ,  -0.178960E-05 )
    -3    -1     0  (   0.190197E-05 ,   0.634370E-05 )
    -2    -1     0  (  -0.136399E-03 ,  -0.702262E-04 )
    -1    -1     0  (   0.180490E-02 ,   0.335685E-03 )
     0     0     1  (  -0.562728E-01 ,  -0.759474E-02 )
     1     0     1  (   0.519098E-02 ,  -0.919145E-02 )
     2     0     1  (   0.806648E-04 ,   0.828632E-03 )
     3     0     1  (  -0.409757E-04 ,   0.220907E-05 )
     4     0     1  (  -0.265260E-06 ,   0.214530E-05 )
     5     0     1  (  -0.285088E-06 ,  -0.178313E-05 )
    -6     0     1  (  -0.659047E-06 ,  -0.306555E-06 )
    -5     0     1  (  -0.670880E-06 ,   0.259376E-05 )
    -4     0     1  (  -0.254340E-05 ,   0.309623E-05 )
    -3     0     1  (  -0.818770E-04 ,  -0.451401E-04 )
    -2     0     1  (   0.361502E-03 ,  -0.500162E-03 )
    -1     0     1  (   0.510566E-02 ,   0.131994E-01 )
     0     1     1  (   0.328600E-02 ,   0.107622E-01 )
     1     1     1  (  -0.850985E-03 ,  -0.162941E-03 )
     2     1     1  (   0.520959E-04 ,  -0.123937E-03 )
     3     1     1  (  -0.350857E-06 ,   0.544917E-05 )
     4     1     1  (   0.337930E-05 ,  -0.495971E-07 )
     5     1     1  (   0.346932E-06 ,  -0.857027E-06 )
    -6     1     1  (   0.487160E-06 ,   0.160906E-06 )
    -5     1     1  (   0.417523E-05 ,   0.175575E-05 )
    -4     1     1  (  -0.191437E-05 ,  -0.643809E-05 )
    -3     1     1  (   0.133730E-03 ,   0.689705E-04 )
    -2     1     1  (  -0.174620E-02 ,  -0.335478E-03 )
    -1     1     1  (   0.779295E-02 ,  -0.104299E-01 )
     0     2     1  (   0.267064E-03 ,  -0.730337E-03 )
     1     2     1  (   0.460295E-04 ,   0.142100E-03 )
     2     2     1  (  -0.103420E-04 ,  -0.184124E-05 )
     3     2     1  (  -0.272207E-05 ,   0.497369E-05 )
     4     2     1  (  -0.140555E-06 ,   0.373337E-07 )
    -6     2     1  (  -0.175620E-06 ,   0.121595E-05 )
    -5     2     1  (  -0.330716E-05 ,  -0.301291E-05 )
    -4     2     1  (  -0.141690E-04 ,  -0.431796E-05 )
    -3     2     1  (   0.123079E-03 ,  -0.285891E-04 )
    -2     2     1  (   0.979483E-04 ,   0.638824E-03 )
    -1     2     1  (  -0.122382E-02 ,  -0.542197E-04 )
     0     3     1  (  -0.430650E-04 ,  -0.190897E-04 )
     1     3     1  (   0.729603E-07 ,  -0.678225E-05 )
     2     3     1  (  -0.175706E-05 ,  -0.580320E-05 )
     3     3     1  (   0.505869E-06 ,  -0.749215E-07 )
    -6     3     1  (  -0.682431E-07 ,   0.302155E-07 )
    -5     3     1  (  -0.359654E-05 ,   0.230890E-05 )
    -4     3     1  (  -0.332572E-05 ,   0.771995E-05 )
    -3     3     1  (  -0.710394E-04 ,   0.133524E-04 )
    -2     3     1  (   0.134153E-03 ,  -0.891589E-04 )
    -1     3     1  (   0.391278E-04 ,   0.112003E-03 )
     0     4     1  (  -0.728846E-06 ,  -0.123751E-05 )
     1     4     1  (   0.345447E-05 ,   0.111484E-05 )
     2     4     1  (  -0.168015E-06 ,   0.102296E-06 )
    -6     4     1  (   0.239242E-06 ,  -0.102839E-05 )
    -5     4     1  (   0.441872E-05 ,  -0.198213E-06 )
    -4     4     1  (  -0.160598E-05 ,  -0.156137E-05 )
    -3     4     1  (  -0.498536E-05 ,   0.758322E-05 )
    -2     4     1  (  -0.965283E-05 ,  -0.547808E-06 )
    -1     4     1  (   0.282067E-07 ,  -0.752138E-05 )
     0     5     1  (  -0.778932E-06 ,   0.186524E-05 )
     1     5     1  (   0.218391E-06 ,   0.798896E-06 )
    -6     5     1  (   0.467549E-06 ,  -0.127919E-06 )
    -5     5     1  (  -0.106480E-06 ,  -0.248895E-05 )
    -4     5     1  (   0.413495E-05 ,  -0.344033E-06 )
    -3     5     1  (  -0.387275E-05 ,   0.366066E-05 )
    -2     5     1  (  -0.205561E-05 ,  -0.429160E-05 )
    -1     5     1  (   0.350097E-05 ,   0.102527E-05 )
    -5     6     1  (   0.479076E-06 ,  -0.234426E-06 )
    -4     6     1  (   0.130983E-07 ,  -0.750157E-06 )
    -3     6     1  (  -0.849314E-07 ,   0.171336E-06 )
    -2     6     1  (  -0.100701E-06 ,   0.396450E-06 )
    -1     6     1  (   0.229482E-06 ,   0.580856E-06 )
     1    -6     1  (   0.493132E-06 ,  -0.248978E-06 )
     2    -6     1  (  -0.241587E-07 ,  -0.761126E-06 )
     3    -6     1  (  -0.758909E-07 ,   0.964911E-07 )
     4    -6     1  (  -0.495038E-07 ,   0.404381E-06 )
     5    -6     1  (   0.208978E-06 ,   0.558645E-06 )
     0    -5     1  (  -0.108522E-06 ,  -0.247202E-05 )
     1    -5     1  (   0.404440E-05 ,  -0.449099E-06 )
     2    -5     1  (  -0.393550E-05 ,   0.361044E-05 )
     3    -5     1  (  -0.199167E-05 ,  -0.431926E-05 )
     4    -5     1  (   0.361811E-05 ,   0.944845E-06 )
     5    -5     1  (  -0.779545E-06 ,   0.190136E-05 )
     6    -5     1  (   0.229230E-06 ,   0.758651E-06 )
    -1    -5     1  (   0.459756E-06 ,  -0.158088E-06 )
     0    -4     1  (  -0.166842E-05 ,  -0.177275E-05 )
     1    -4     1  (  -0.431786E-05 ,   0.712985E-05 )
     2    -4     1  (  -0.989558E-05 ,   0.103842E-05 )
     3    -4     1  (  -0.372149E-06 ,  -0.819517E-05 )
     4    -4     1  (  -0.713024E-06 ,  -0.132794E-05 )
     5    -4     1  (   0.359767E-05 ,   0.102814E-05 )
     6    -4     1  (  -0.112198E-06 ,   0.123301E-06 )
    -2    -4     1  (   0.213447E-06 ,  -0.103232E-05 )
    -1    -4     1  (   0.429837E-05 ,  -0.279991E-06 )
     0    -3     1  (  -0.713540E-04 ,   0.159791E-04 )
     1    -3     1  (   0.127532E-03 ,  -0.932897E-04 )
     2    -3     1  (   0.464646E-04 ,   0.108945E-03 )
     3    -3     1  (  -0.437250E-04 ,  -0.165751E-04 )
     4    -3     1  (  -0.387359E-06 ,  -0.753577E-05 )
     5    -3     1  (  -0.182638E-05 ,  -0.573187E-05 )
     6    -3     1  (   0.391546E-06 ,  -0.131223E-06 )
    -3    -3     1  (   0.410203E-07 ,   0.216428E-08 )
    -2    -3     1  (  -0.353690E-05 ,   0.230137E-05 )
    -1    -3     1  (  -0.268493E-05 ,   0.718642E-05 )
     0    -2     1  (   0.129334E-03 ,   0.649759E-03 )
     1    -2     1  (  -0.122959E-02 ,  -0.382670E-04 )
     2    -2     1  (   0.242759E-03 ,  -0.725177E-03 )
     3    -2     1  (   0.512060E-04 ,   0.139980E-03 )
     4    -2     1  (  -0.100497E-04 ,  -0.114503E-05 )
     5    -2     1  (  -0.284280E-05 ,   0.489696E-05 )
     6    -2     1  (  -0.140412E-06 ,   0.204073E-07 )
    -4    -2     1  (  -0.189281E-06 ,   0.122977E-05 )
    -3    -2     1  (  -0.318665E-05 ,  -0.308532E-05 )
    -2    -2     1  (  -0.144578E-04 ,  -0.326570E-05 )
    -1    -2     1  (   0.117436E-03 ,  -0.331076E-04 )
     0    -1     1  (   0.761803E-02 ,  -0.105311E-01 )
     1    -1     1  (   0.345578E-02 ,   0.106959E-01 )
     2    -1     1  (  -0.855068E-03 ,  -0.155703E-03 )
     3    -1     1  (   0.511732E-04 ,  -0.124677E-03 )
     4    -1     1  (  -0.370649E-06 ,   0.554948E-05 )
     5    -1     1  (   0.340576E-05 ,  -0.426094E-07 )
     6    -1     1  (   0.359290E-06 ,  -0.829245E-06 )
    -5    -1     1  (   0.472302E-06 ,   0.171554E-06 )
    -4    -1     1  (   0.415337E-05 ,   0.177246E-05 )
    -3    -1     1  (  -0.185835E-05 ,  -0.650821E-05 )
    -2    -1     1  (   0.135402E-03 ,   0.687547E-04 )
    -1    -1     1  (  -0.174809E-02 ,  -0.325544E-03 )
     0     0     2  (   0.484410E-01 ,   0.656459E-02 )
     1     0     2  (  -0.439304E-02 ,   0.811827E-02 )
     2     0     2  (  -0.521253E-04 ,  -0.746132E-03 )
     3     0     2  (   0.345592E-04 ,  -0.292184E-05 )
     4     0     2  (   0.151093E-06 ,  -0.196030E-05 )
     5     0     2  (   0.170524E-06 ,   0.155232E-05 )
    -6     0     2  (   0.531644E-06 ,   0.280280E-06 )
    -5     0     2  (   0.488398E-06 ,  -0.239132E-05 )
    -4     0     2  (   0.254725E-05 ,  -0.333525E-05 )
    -3     0     2  (   0.771623E-04 ,   0.443974E-04 )
    -2     0     2  (  -0.304932E-03 ,   0.418537E-03 )
    -1     0     2  (  -0.439473E-02 ,  -0.115106E-01 )
     0     1     2  (  -0.273649E-02 ,  -0.943835E-02 )
     1     1     2  (   0.679241E-03 ,   0.141934E-03 )
     2     1     2  (  -0.435201E-04 ,   0.110991E-03 )
     3     1     2  (   0.692644E-06 ,  -0.455892E-05 )
     4     1     2  (  -0.285684E-05 ,   0.114960E-06 )
     5     1     2  (  -0.296426E-06 ,   0.797122E-06 )
    -6     1     2  (  -0.467690E-06 ,  -0.121601E-06 )
    -5     1     2  (  -0.366646E-05 ,  -0.166231E-05 )
    -4     1     2  (   0.194076E-05 ,   0.603124E-05 )
    -3     1     2  (  -0.126912E-03 ,  -0.586568E-04 )
    -2     1     2  (   0.152337E-02 ,   0.308291E-03 )
    -1     1     2  (  -0.677338E-02 ,   0.910312E-02 )
     0     2     2  (  -0.219331E-03 ,   0.655886E-03 )
     1     2     2  (  -0.396679E-04 ,  -0.128164E-03 )
     2     2     2  (   0.862021E-05 ,   0.170107E-05 )
     3     2     2  (   0.234217E-05 ,  -0.453328E-05 )
     4     2     2  (   0.110048E-06 ,  -0.675538E-07 )
    -6     2     2  (   0.123522E-06 ,  -0.116498E-05 )
    -5     2     2  (   0.308283E-05 ,   0.251678E-05 )
    -4     2     2  (   0.129606E-04 ,   0.446193E-05 )
    -3     2     2  (  -0.116164E-03 ,   0.191009E-04 )
    -2     2     2  (  -0.625819E-04 ,  -0.552648E-03 )
    -1     2     2  (   0.103354E-02 ,   0.353976E-04 )
     0     3     2  (   0.368634E-04 ,   0.186458E-04 )
     1     3     2  (   0.333117E-06 ,   0.590875E-05 )
     2     3     2  (   0.153447E-05 ,   0.524790E-05 )
     3     3     2  (  -0.428169E-06 ,   0.710340E-07 )
    -6     3     2  (   0.162774E-06 ,  -0.132948E-07 )
    -5     3     2  (   0.320870E-05 ,  -0.188160E-05 )
    -4     3     2  (   0.373236E-05 ,  -0.730952E-05 )
    -3     3     2  (   0.656388E-04 ,  -0.130565E-04 )
    -2     3     2  (  -0.125979E-03 ,   0.774306E-04 )
    -1     3     2  (  -0.324791E-04 ,  -0.988882E-04 )
     0     4     2  (   0.716127E-06 ,   0.995719E-06 )
     1     4     2  (  -0.292777E-05 ,  -0.103926E-05 )
     2     4     2  (   0.148109E-06 ,  -0.779618E-07 )
    -6     4     2  (  -0.273668E-06 ,   0.983599E-06 )
    -5     4     2  (  -0.388592E-05 ,   0.270087E-06 )
    -4     4     2  (   0.140726E-05 ,   0.173453E-05 )
    -3     4     2  (   0.535943E-05 ,  -0.705533E-05 )
    -2     4     2  (   0.813557E-05 ,   0.651211E-06 )
    -1     4     2  (   0.271798E-06 ,   0.672473E-05 )
     0     5     2  (   0.617629E-06 ,  -0.167582E-05 )
     1     5     2  (  -0.190842E-06 ,  -0.731742E-06 )
    -6     5     2  (  -0.430095E-06 ,   0.970559E-07 )
    -5     5     2  (  -0.157897E-07 ,   0.226478E-05 )
    -4     5     2  (  -0.361768E-05 ,   0.408885E-06 )
    -3     5     2  (   0.347643E-05 ,  -0.322156E-05 )
    -2     5     2  (   0.182330E-05 ,   0.375643E-05 )
    -1     5     2  (  -0.298852E-05 ,  -0.947922E-06 )
    -5     6     2  (  -0.442977E-06 ,   0.200666E-06 )
    -4     6     2  (  -0.470464E-07 ,   0.726036E-06 )
    -3     6     2  (   0.134443E-06 ,  -0.168234E-06 )
    -2     6     2  (   0.682427E-07 ,  -0.374298E-06 )
    -1     6     2  (  -0.208629E-06 ,  -0.525043E-06 )
     1    -6     2  (  -0.466634E-06 ,   0.208737E-06 )
     2    -6     2  (   0.270764E-08 ,   0.726282E-06 )
     3    -6     2  (   0.122603E-06 ,  -0.810528E-07 )
     4    -6     2  (   0.109963E-07 ,  -0.396699E-06 )
     5    -6     2  (  -0.179600E-06 ,  -0.506152E-06 )
     0    -5     2  (  -0.396023E-08 ,   0.223808E-05 )
     1    -5     2  (  -0.352717E-05 ,   0.492471E-06 )
     2    -5     2  (   0.358635E-05 ,  -0.314009E-05 )
     3    -5     2  (   0.170816E-05 ,   0.379270E-05 )
     4    -5     2  (  -0.309839E-05 ,  -0.876984E-06 )
     5    -5     2  (   0.609454E-06 ,  -0.172278E-05 )
     6    -5     2  (  -0.195756E-06 ,  -0.696407E-06 )
    -1    -5     2  (  -0.432192E-06 ,   0.121250E-06 )
     0    -4     2  (   0.163036E-05 ,   0.205936E-05 )
     1    -4     2  (   0.416627E-05 ,  -0.642905E-05 )
     2    -4     2  (   0.853709E-05 ,  -0.161557E-05 )
     3    -4     2  (   0.102511E-05 ,   0.770675E-05 )
     4    -4     2  (   0.550322E-06 ,   0.111270E-05 )
     5    -4     2  (  -0.306065E-05 ,  -0.961305E-06 )
     6    -4     2  (   0.908181E-07 ,  -0.113102E-06 )
    -2    -4     2  (  -0.238005E-06 ,   0.972431E-06 )
    -1    -4     2  (  -0.376726E-05 ,   0.331723E-06 )
     0    -3     2  (   0.662542E-04 ,  -0.171914E-04 )
     1    -3     2  (  -0.116997E-03 ,   0.833561E-04 )
     2    -3     2  (  -0.426804E-04 ,  -0.950309E-04 )
     3    -3     2  (   0.378769E-04 ,   0.148998E-04 )
     4    -3     2  (   0.103366E-05 ,   0.688010E-05 )
     5    -3     2  (   0.157045E-05 ,   0.516922E-05 )
     6    -3     2  (  -0.327784E-06 ,   0.130136E-06 )
    -3    -3     2  (   0.649828E-07 ,   0.243259E-07 )
    -2    -3     2  (   0.319623E-05 ,  -0.186015E-05 )
    -1    -3     2  (   0.266957E-05 ,  -0.663056E-05 )
     0    -2     2  (  -0.101114E-03 ,  -0.560439E-03 )
     1    -2     2  (   0.104200E-02 ,   0.949075E-05 )
     2    -2     2  (  -0.190598E-03 ,   0.655169E-03 )
     3    -2     2  (  -0.465925E-04 ,  -0.125566E-03 )
     4    -2     2  (   0.840120E-05 ,   0.713851E-06 )
     5    -2     2  (   0.246869E-05 ,  -0.443563E-05 )
     6    -2     2  (   0.111473E-06 ,  -0.474835E-07 )
    -4    -2     2  (   0.131311E-06 ,  -0.117676E-05 )
    -3    -2     2  (   0.293714E-05 ,   0.260849E-05 )
    -2    -2     2  (   0.133456E-04 ,   0.301036E-05 )
    -1    -2     2  (  -0.108742E-03 ,   0.248989E-04 )
     0    -1     2  (  -0.658251E-02 ,   0.921300E-02 )
     1    -1     2  (  -0.292396E-02 ,  -0.937044E-02 )
     2    -1     2  (   0.685518E-03 ,   0.130468E-03 )
     3    -1     2  (  -0.419418E-04 ,   0.112237E-03 )
     4    -1     2  (   0.606247E-06 ,  -0.463138E-05 )
     5    -1     2  (  -0.288182E-05 ,   0.105076E-06 )
     6    -1     2  (  -0.308773E-06 ,   0.768122E-06 )
    -5    -1     2  (  -0.452064E-06 ,  -0.130821E-06 )
